2017-02-15 20:17:09 status half-installed libacl1:arm64 2.2.52-3
2017-02-15 20:17:09 status unpacked libacl1:arm64 2.2.52-3
2017-02-15 20:17:09 status unpacked libacl1:arm64 2.2.52-3
2017-02-15 20:17:09 install libapparmor1:arm64 <none> 2.10.95-0ubuntu2
2017-02-15 20:17:09 status half-installed libapparmor1:arm64 2.10.95-0ubuntu2
2017-02-15 20:17:09 status unpacked libapparmor1:arm64 2.10.95-0ubuntu2
2017-02-15 20:17:09 status unpacked libapparmor1:arm64 2.10.95-0ubuntu2
2017-02-15 20:17:09 install libattr1:arm64 <none> 1:2.4.47-2
2017-02-15 20:17:09 status half-installed libattr1:arm64 1:2.4.47-2
2017-02-15 20:17:09 status unpacked libattr1:arm64 1:2.4.47-2
2017-02-15 20:17:09 status unpacked libattr1:arm64 1:2.4.47-2
2017-02-15 20:17:09 install libaudit-common:all <none> 1:2.4.5-1ubuntu2
2017-02-15 20:17:09 status half-installed libaudit-common:all 1:2.4.5-1ubuntu2
2017-02-15 20:17:09 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2017-02-15 20:17:09 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2017-02-15 20:17:09 install libaudit1:arm64 <none> 1:2.4.5-1ubuntu2
2017-02-15 20:17:09 status half-installed libaudit1:arm64 1:2.4.5-1ubuntu2
2017-02-15 20:17:09 status unpacked libaudit1:arm64 1:2.4.5-1ubuntu2
2017-02-15 20:17:09 status unpacked libaudit1:arm64 1:2.4.5-1ubuntu2
2017-02-15 20:17:09 install libblkid1:arm64 <none> 2.27.1-6ubuntu3
2017-02-15 20:17:09 status half-installed libblkid1:arm64 2.27.1-6ubuntu3
2017-02-15 20:17:09 status unpacked libblkid1:arm64 2.27.1-6ubuntu3
2017-02-15 20:17:09 status unpacked libblkid1:arm64 2.27.1-6ubuntu3
2017-02-15 20:17:09 install libbz2-1.0:arm64 <none> 1.0.6-8
2017-02-15 20:17:09 status half-installed libbz2-1.0:arm64 1.0.6-8
2017-02-15 20:17:09 status unpacked libbz2-1.0:arm64 1.0.6-8
2017-02-15 20:17:09 status unpacked libbz2-1.0:arm64 1.0.6-8
2017-02-15 20:17:09 install libc-bin:arm64 <none> 2.23-0ubuntu3
2017-02-15 20:17:09 status half-installed libc-bin:arm64 2.23-0ubuntu3
2017-02-15 20:17:09 status unpacked libc-bin:arm64 2.23-0ubuntu3
2017-02-15 20:17:09 status unpacked libc-bin:arm64 2.23-0ubuntu3
2017-02-15 20:17:09 upgrade libc6:arm64 2.23-0ubuntu3 2.23-0ubuntu3
2017-02-15 20:17:09 status half-configured libc6:arm64 2.23-0ubuntu3
2017-02-15 20:17:09 status unpacked libc6:arm64 2.23-0ubuntu3
2017-02-15 20:17:09 status half-installed libc6:arm64 2.23-0ubuntu3
2017-02-15 20:17:10 status half-installed libc6:arm64 2.23-0ubuntu3
2017-02-15 20:17:10 status unpacked libc6:arm64 2.23-0ubuntu3
2017-02-15 20:17:10 status unpacked libc6:arm64 2.23-0ubuntu3
2017-02-15 20:17:10 install libcap2:arm64 <none> 1:2.24-12
2017-02-15 20:17:10 status half-installed libcap2:arm64 1:2.24-12
2017-02-15 20:17:10 status unpacked libcap2:arm64 1:2.24-12
2017-02-15 20:17:10 status unpacked libcap2:arm64 1:2.24-12
2017-02-15 20:17:10 install libcap2-bin:arm64 <none> 1:2.24-12
2017-02-15 20:17:10 status half-installed libcap2-bin:arm64 1:2.24-12
2017-02-15 20:17:10 status unpacked libcap2-bin:arm64 1:2.24-12
2017-02-15 20:17:10 status unpacked libcap2-bin:arm64 1:2.24-12
2017-02-15 20:17:10 install libcomerr2:arm64 <none> 1.42.13-1ubuntu1
2017-02-15 20:17:10 status half-installed libcomerr2:arm64 1.42.13-1ubuntu1
2017-02-15 20:17:10 status unpacked libcomerr2:arm64 1.42.13-1ubuntu1
2017-02-15 20:17:10 status unpacked libcomerr2:arm64 1.42.13-1ubuntu1
2017-02-15 20:17:10 install libcryptsetup4:arm64 <none> 2:1.6.6-5ubuntu2
2017-02-15 20:17:10 status half-installed libcryptsetup4:arm64 2:1.6.6-5ubuntu2
2017-02-15 20:17:10 status unpacked libcryptsetup4:arm64 2:1.6.6-5ubuntu2
2017-02-15 20:17:10 status unpacked libcryptsetup4:arm64 2:1.6.6-5ubuntu2
2017-02-15 20:17:10 install libdb5.3:arm64 <none> 5.3.28-11
2017-02-15 20:17:10 status half-installed libdb5.3:arm64 5.3.28-11
2017-02-15 20:17:10 status unpacked libdb5.3:arm64 5.3.28-11
2017-02-15 20:17:10 status unpacked libdb5.3:arm64 5.3.28-11
2017-02-15 20:17:10 install libdebconfclient0:arm64 <none> 0.198ubuntu1
2017-02-15 20:17:10 status half-installed libdebconfclient0:arm64 0.198ubuntu1
2017-02-15 20:17:10 status unpacked libdebconfclient0:arm64 0.198ubuntu1
2017-02-15 20:17:10 status unpacked libdebconfclient0:arm64 0.198ubuntu1
2017-02-15 20:17:10 install libdevmapper1.02.1:arm64 <none> 2:1.02.110-1ubuntu10
2017-02-15 20:17:10 status half-installed libdevmapper1.02.1:arm64 2:1.02.110-1ubuntu10
2017-02-15 20:17:10 status unpacked libdevmapper1.02.1:arm64 2:1.02.110-1ubuntu10
2017-02-15 20:17:10 status unpacked libdevmapper1.02.1:arm64 2:1.02.110-1ubuntu10
2017-02-15 20:17:10 install libfdisk1:arm64 <none> 2.27.1-6ubuntu3
2017-02-15 20:17:10 status half-installed libfdisk1:arm64 2.27.1-6ubuntu3
2017-02-15 20:17:10 status unpacked libfdisk1:arm64 2.27.1-6ubuntu3
2017-02-15 20:17:10 status unpacked libfdisk1:arm64 2.27.1-6ubuntu3
2017-02-15 20:17:10 install libgcc1:arm64 <none> 1:6.0.1-0ubuntu1
2017-02-15 20:17:10 status half-installed libgcc1:arm64 1:6.0.1-0ubuntu1
2017-02-15 20:17:10 status unpacked libgcc1:arm64 1:6.0.1-0ubuntu1
2017-02-15 20:17:10 status unpacked libgcc1:arm64 1:6.0.1-0ubuntu1
2017-02-15 20:17:10 install libgcrypt20:arm64 <none> 1.6.5-2
2017-02-15 20:17:10 status half-installed libgcrypt20:arm64 1.6.5-2
2017-02-15 20:17:10 status unpacked libgcrypt20:arm64 1.6.5-2
2017-02-15 20:17:10 status unpacked libgcrypt20:arm64 1.6.5-2
2017-02-15 20:17:10 install libgpg-error0:arm64 <none> 1.21-2ubuntu1
2017-02-15 20:17:10 status half-installed libgpg-error0:arm64 1.21-2ubuntu1
2017-02-15 20:17:10 status unpacked libgpg-error0:arm64 1.21-2ubuntu1
2017-02-15 20:17:10 status unpacked libgpg-error0:arm64 1.21-2ubuntu1
2017-02-15 20:17:10 install libkmod2:arm64 <none> 22-1ubuntu4
2017-02-15 20:17:10 status half-installed libkmod2:arm64 22-1ubuntu4
2017-02-15 20:17:10 status unpacked libkmod2:arm64 22-1ubuntu4
2017-02-15 20:17:10 status unpacked libkmod2:arm64 22-1ubuntu4
2017-02-15 20:17:10 install liblzma5:arm64 <none> 5.1.1alpha+20120614-2ubuntu2
2017-02-15 20:17:10 status half-installed liblzma5:arm64 5.1.1alpha+20120614-2ubuntu2
2017-02-15 20:17:10 status unpacked liblzma5:arm64 5.1.1alpha+20120614-2ubuntu2
