2017-04-12 03:04:54 status half-installed findutils:arm64 4.6.0+git+20161106-2
2017-04-12 03:04:54 status unpacked findutils:arm64 4.6.0+git+20161106-2
2017-04-12 03:04:54 status unpacked findutils:arm64 4.6.0+git+20161106-2
2017-04-12 03:04:54 install gcc-6-base:arm64 <none> 6.3.0-12ubuntu2
2017-04-12 03:04:54 status half-installed gcc-6-base:arm64 6.3.0-12ubuntu2
2017-04-12 03:04:54 status unpacked gcc-6-base:arm64 6.3.0-12ubuntu2
2017-04-12 03:04:54 status unpacked gcc-6-base:arm64 6.3.0-12ubuntu2
2017-04-12 03:04:54 install grep:arm64 <none> 2.27-2
2017-04-12 03:04:54 status half-installed grep:arm64 2.27-2
2017-04-12 03:04:54 status unpacked grep:arm64 2.27-2
2017-04-12 03:04:54 status unpacked grep:arm64 2.27-2
2017-04-12 03:04:54 install gzip:arm64 <none> 1.6-4ubuntu1
2017-04-12 03:04:54 status half-installed gzip:arm64 1.6-4ubuntu1
2017-04-12 03:04:54 status unpacked gzip:arm64 1.6-4ubuntu1
2017-04-12 03:04:54 status unpacked gzip:arm64 1.6-4ubuntu1
2017-04-12 03:04:54 install hostname:arm64 <none> 3.18
2017-04-12 03:04:54 status half-installed hostname:arm64 3.18
2017-04-12 03:04:54 status unpacked hostname:arm64 3.18
2017-04-12 03:04:54 status unpacked hostname:arm64 3.18
2017-04-12 03:04:54 install init-system-helpers:all <none> 1.47
2017-04-12 03:04:54 status half-installed init-system-helpers:all 1.47
2017-04-12 03:04:54 status unpacked init-system-helpers:all 1.47
2017-04-12 03:04:54 status unpacked init-system-helpers:all 1.47
2017-04-12 03:04:54 install libacl1:arm64 <none> 2.2.52-3
2017-04-12 03:04:54 status half-installed libacl1:arm64 2.2.52-3
2017-04-12 03:04:54 status unpacked libacl1:arm64 2.2.52-3
2017-04-12 03:04:54 status unpacked libacl1:arm64 2.2.52-3
2017-04-12 03:04:54 install libattr1:arm64 <none> 1:2.4.47-2
2017-04-12 03:04:54 status half-installed libattr1:arm64 1:2.4.47-2
2017-04-12 03:04:54 status unpacked libattr1:arm64 1:2.4.47-2
2017-04-12 03:04:54 status unpacked libattr1:arm64 1:2.4.47-2
2017-04-12 03:04:54 install libaudit-common:all <none> 1:2.6.6-1ubuntu1
2017-04-12 03:04:54 status half-installed libaudit-common:all 1:2.6.6-1ubuntu1
2017-04-12 03:04:54 status unpacked libaudit-common:all 1:2.6.6-1ubuntu1
2017-04-12 03:04:54 status unpacked libaudit-common:all 1:2.6.6-1ubuntu1
2017-04-12 03:04:54 install libaudit1:arm64 <none> 1:2.6.6-1ubuntu1
2017-04-12 03:04:54 status half-installed libaudit1:arm64 1:2.6.6-1ubuntu1
2017-04-12 03:04:54 status unpacked libaudit1:arm64 1:2.6.6-1ubuntu1
2017-04-12 03:04:54 status unpacked libaudit1:arm64 1:2.6.6-1ubuntu1
2017-04-12 03:04:54 install libblkid1:arm64 <none> 2.29-1ubuntu2
2017-04-12 03:04:54 status half-installed libblkid1:arm64 2.29-1ubuntu2
2017-04-12 03:04:54 status unpacked libblkid1:arm64 2.29-1ubuntu2
2017-04-12 03:04:54 status unpacked libblkid1:arm64 2.29-1ubuntu2
2017-04-12 03:04:54 install libbz2-1.0:arm64 <none> 1.0.6-8.1
2017-04-12 03:04:54 status half-installed libbz2-1.0:arm64 1.0.6-8.1
2017-04-12 03:04:54 status unpacked libbz2-1.0:arm64 1.0.6-8.1
2017-04-12 03:04:54 status unpacked libbz2-1.0:arm64 1.0.6-8.1
2017-04-12 03:04:54 install libc-bin:arm64 <none> 2.24-9ubuntu2
2017-04-12 03:04:54 status half-installed libc-bin:arm64 2.24-9ubuntu2
2017-04-12 03:04:54 status unpacked libc-bin:arm64 2.24-9ubuntu2
2017-04-12 03:04:54 status unpacked libc-bin:arm64 2.24-9ubuntu2
2017-04-12 03:04:54 upgrade libc6:arm64 2.24-9ubuntu2 2.24-9ubuntu2
2017-04-12 03:04:54 status half-configured libc6:arm64 2.24-9ubuntu2
2017-04-12 03:04:54 status unpacked libc6:arm64 2.24-9ubuntu2
2017-04-12 03:04:54 status half-installed libc6:arm64 2.24-9ubuntu2
2017-04-12 03:04:55 status half-installed libc6:arm64 2.24-9ubuntu2
2017-04-12 03:04:55 status unpacked libc6:arm64 2.24-9ubuntu2
2017-04-12 03:04:55 status unpacked libc6:arm64 2.24-9ubuntu2
2017-04-12 03:04:55 install libcap-ng0:arm64 <none> 0.7.7-3
2017-04-12 03:04:55 status half-installed libcap-ng0:arm64 0.7.7-3
2017-04-12 03:04:55 status unpacked libcap-ng0:arm64 0.7.7-3
2017-04-12 03:04:55 status unpacked libcap-ng0:arm64 0.7.7-3
2017-04-12 03:04:55 install libcomerr2:arm64 <none> 1.43.4-2
2017-04-12 03:04:55 status half-installed libcomerr2:arm64 1.43.4-2
2017-04-12 03:04:55 status unpacked libcomerr2:arm64 1.43.4-2
2017-04-12 03:04:55 status unpacked libcomerr2:arm64 1.43.4-2
2017-04-12 03:04:55 install libdb5.3:arm64 <none> 5.3.28-12
2017-04-12 03:04:55 status half-installed libdb5.3:arm64 5.3.28-12
2017-04-12 03:04:55 status unpacked libdb5.3:arm64 5.3.28-12
2017-04-12 03:04:55 status unpacked libdb5.3:arm64 5.3.28-12
2017-04-12 03:04:55 install libdebconfclient0:arm64 <none> 0.213ubuntu1
2017-04-12 03:04:55 status half-installed libdebconfclient0:arm64 0.213ubuntu1
2017-04-12 03:04:56 status unpacked libdebconfclient0:arm64 0.213ubuntu1
2017-04-12 03:04:56 status unpacked libdebconfclient0:arm64 0.213ubuntu1
2017-04-12 03:04:56 install libfdisk1:arm64 <none> 2.29-1ubuntu2
2017-04-12 03:04:56 status half-installed libfdisk1:arm64 2.29-1ubuntu2
2017-04-12 03:04:56 status unpacked libfdisk1:arm64 2.29-1ubuntu2
2017-04-12 03:04:56 status unpacked libfdisk1:arm64 2.29-1ubuntu2
2017-04-12 03:04:56 install libgcc1:arm64 <none> 1:6.3.0-12ubuntu2
2017-04-12 03:04:56 status half-installed libgcc1:arm64 1:6.3.0-12ubuntu2
2017-04-12 03:04:56 status unpacked libgcc1:arm64 1:6.3.0-12ubuntu2
2017-04-12 03:04:56 status unpacked libgcc1:arm64 1:6.3.0-12ubuntu2
2017-04-12 03:04:56 install libgcrypt20:arm64 <none> 1.7.6-1
2017-04-12 03:04:56 status half-installed libgcrypt20:arm64 1.7.6-1
2017-04-12 03:04:56 status unpacked libgcrypt20:arm64 1.7.6-1
2017-04-12 03:04:56 status unpacked libgcrypt20:arm64 1.7.6-1
2017-04-12 03:04:56 install libgpg-error0:arm64 <none> 1.26-2
2017-04-12 03:04:56 status half-installed libgpg-error0:arm64 1.26-2
2017-04-12 03:04:56 status unpacked libgpg-error0:arm64 1.26-2
2017-04-12 03:04:56 status unpacked libgpg-error0:arm64 1.26-2
2017-04-12 03:04:56 install liblz4-1:arm64 <none> 0.0~r131-2ubuntu2
2017-04-12 03:04:56 status half-installed liblz4-1:arm64 0.0~r131-2ubuntu2
2017-04-12 03:04:56 status unpacked liblz4-1:arm64 0.0~r131-2ubuntu2
2017-04-12 03:04:56 status unpacked liblz4-1:arm64 0.0~r131-2ubuntu2
2017-04-12 03:04:56 install liblzma5:arm64 <none> 5.2.2-1.2
2017-04-12 03:04:56 status half-installed liblzma5:arm64 5.2.2-1.2
2017-04-12 03:04:56 status unpacked liblzma5:arm64 5.2.2-1.2
2017-04-12 03:04:56 status unpacked liblzma5:arm64 5.2.2-1.2
2017-04-12 03:04:56 install libmount1:arm64 <none> 2.29-1ubuntu2
2017-04-12 03:04:56 status half-installed libmount1:arm64 2.29-1ubuntu2
2017-04-12 03:04:56 status unpacked libmount1:arm64 2.29-1ubuntu2
2017-04-12 03:04:56 status unpacked libmount1:arm64 2.29-1ubuntu2
